Strain,Rating,NumReviews,Effmedneg,Strain_description,Flavours,Review_breakdown,THC,Lean
UK Cheese,4.16728624535316,557,"['Relaxed 100', 'Happy 84.354270427804', 'Euphoric 59.7017116509711', 'Uplifted 58.2543117510168', 'Focused 43.689510428674', 'Stress 100', 'Depression 95.6867460003006', 'Pain 95.5050346344596', 'Fatigue 74.2926236115476', 'Inflammation 72.1885972702308', 'Dry Mouth 100', 'Dry Eyes 53.0388516970211', 'Anxious 30.7948665477826', 'Dizzy 10.7127196187915', 'Paranoid 8.71751395913117']","UK Cheese is a popular hybrid strain known for its potent, balanced effects and signature musty cheese smell. The flavor is also unique with notes of berries and spicy cheese (one that may just have to be tasted rather than described). This strain is thought to be a specific phenotype (same genetics, different end result) of Skunk #1 that was originally cultivated in the early 1990s by a UK collective group known as “Exodus.” (As a result, this strain is also known as Exodus Cheese.) UK Cheese became popular for its energetic, euphoric head effects combined with its impressive pain relief potential. It quickly spread beyond the borders of its British home. Most users experience alert, sativa effects that allow for mental relaxation without sedation, but it may hasten bedtime for some. Effects tend to be felt in the head first, generally around the eyes, then spread throughout the entire body, producing muscle relaxation and even some tingly numbness. UK’s flowers are on the denser end of the scale and light green with a coat of orange hairs that would make both Prince Charles and Prince William jealous.","['Cheese', 'Earthy', 'Pungent']","[100.0, 88.7780548628429, 34.9127182044888, 10.7231920199501, 3.24189526184539, 11.7206982543641]",,0.44
UW,4.37903225806452,127,"['Relaxed 100', 'Focused 88.6566246541654', 'Happy 72.6713802643714', 'Sleepy 62.311712265601', 'Euphoric 30.5564094681832', 'Pain 100', 'Stress 66.4460622104566', 'Inflammation 36.3335539377895', 'Depression 28.0277961614825', 'Headaches 21.7074784910655', 'Dry Mouth 100', 'Dry Eyes 24.7058823529412', 'Headache 8.23529411764706', 'Paranoid 5.49019607843137', 'Dizzy 2.74509803921569']","UW is a marijuana strain that comes with its own superhero origin story. Popular rumor has it that a clone plant was stolen from a certain Pacific Northwest university's medical research lab in the early nineties—in some versions by a rogue graduate student—and has since been a popular top shelf indica. These buds show their university pride with purple coloring, and the dense, sticky buds are at the top of the class when it comes to potency. Almost entirely indica, this strain’s powerful high is sedative and popular for pain relief and insomnia. A mix of tropical fruit and a little spice, the aroma also earns high marks.","['Berry', 'Grape', 'Pepper']","[100.0, 44.8453608247423, 14.6048109965636, 4.12371134020619, 3.09278350515464, 5.15463917525773]",14.0,0.8
Ultimate Trainwreck,4.41176470588235,37,"['Aroused 100', 'Euphoric 36.6197183098592', 'Energetic 25.3521126760563', 'Focused 23.943661971831', 'Happy 23.943661971831', 'Stress 100', 'Pain 80', 'Nausea 46.6666666666667', 'Depression 33.3333333333333', 'Fatigue 26.6666666666667', 'Dry Mouth 100', 'Dry Eyes 82.3529411764706', 'Dizzy 29.4117647058823', 'Headache 11.7647058823529', 'Paranoid 11.7647058823529']","Ultimate Trainwreck is the more potent, more heavily sativa cousin of the hugely popular Trainwreck strain. It’s a great sativa that will send your brain into space and also packs a strong body buzz. Less active than the original, these dense, colorful flowers are not a good choice if mental clarity is desired. Ultimate Trainwreck buds have a skunky, earthy aroma with a sweet citrus punch.","['Tropical', 'Spicy/Herbal', 'Mint']","[100.0, 96.4467005076142, 21.5736040609137, 0.0, 0.0, 35.7868020304569]",,0.06
Ultra Banana,5.0,5,"['Tingly 100', 'Relaxed 100', 'Uplifted 85.7142857142857', 'Sleepy 14.2857142857143', 'Giggly 14.2857142857143', 'Depression 100', 'Insomnia 100', 'Pain 100', 'Stress 100', 'Dizzy 100', 'Dry Eyes 100', 'Dry Mouth 100', 'Paranoid 100']","Ultra Banana is a delicious, sleep-inducing cross of MK Ultra and Banana Kush. MK Ultra possesses strong indica-dominant genetics, including OG Kush and G13, which are amplified by the sweet and floral elements of Banana Kush. This sedating combination lays into the body, weighing the consumer down with potent relaxation ideal for late evenings. Enjoy Ultra Banana to help relieve restlessness, anxiety, and general pain while stimulating introspective thought.","['Spicy/Herbal', 'Pine', 'Ammonia']","[100.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,1.0
Ultra Sonja,4.5,26,"['Uplifted 100', 'Happy 94.4038929440389', 'Relaxed 14.7201946472019', 'Euphoric 14.1119221411192', 'Creative 11.0705596107056', 'Fatigue 100', 'Headaches 100', 'Stress 30.8641975308642', 'Depression 24.6913580246914', 'Lack of Appetite 18.5185185185185', 'Dry Mouth 100', 'Headache 10.3649635036496', 'Paranoid 9.63503649635037', 'Anxious 9.63503649635037', 'Dry Eyes 2.91970802919708']","Ultra Sonja is a sativa-dominant descendant of U.K. Cheese and Tang Tang that inherits an unusual blend of flavor and effects from its parent strains. Like a pairing of wine and cheese, Ultra Sonja combines a sour funky aroma with deep fruity accents in a display of its heritage. Its dense buds, which sometimes express themselves in tones of purple, deliver clear-headed feelings of bliss and tranquility.","['Tree Fruit', 'Earthy', 'Cheese']","[100.0, 54.6099290780142, 9.04255319148936, 9.04255319148936, 4.60992907801418, 0.0]",19.0,0.385
Ultra Sour,4.81818181818182,22,"['Happy 100', 'Uplifted 67.5945753033547', 'Relaxed 63.0977872947894', 'Euphoric 61.598857958601', 'Giggly 52.8907922912206', 'Stress 100', 'Depression 68.2156133828996', 'Fatigue 43.4944237918216', 'Lack of Appetite 43.4944237918216', 'Cramps 35.6877323420074', 'Dry Eyes 100', 'Paranoid 65.5241935483871', 'Dizzy 61.2903225806452', 'Dry Mouth 39.5161290322581', 'Anxious 31.0483870967742']","Ultra Sour by THSeeds is a tart cross out of Amsterdam. This strain is the product of crossing MK Ultra and East Coast Sour Diesel, creating a sativa-dominant bud with uplifting stimulation and heady euphoria. Ultra Sour smells of pine and diesel, and its buds are deep green with rusty orange pistils. The potent mental effects can be a little daunting for inexperienced consumers, so mind your dosage. Enjoy Ultra Sour as a means to shrug off stress and enhance creativity.","['Diesel', 'Earthy', 'Lemon']","[100.0, 31.787175989086, 0.0, 4.50204638472033, 0.0, 0.0]",,0.1
UltraViolet OG,4.63636363636364,33,"['Relaxed 100', 'Creative 74.1523557904007', 'Uplifted 71.3782474680757', 'Sleepy 62.6596213121973', 'Hungry 59.3571114046675', 'Stress 100', 'Lack of Appetite 93.4620174346202', 'Insomnia 87.6712328767123', 'Depression 77.2104607721046', 'Pain 53.7359900373599', 'Dry Mouth 100', 'Dizzy 5.02092050209205', 'Dry Eyes 2.51046025104603', 'Paranoid 1.25523012552301']","From Archive Seeds, UltraViolet OG is an 80% indica strain bred by crossing Face Off OG with Purple Indica from the Pacific Northwest. With this genetic combination, the breeders hoped to improve the yield and flowering time while still maintaining a deep purple coloration, and UltraViolet OG achieved just that. This powerful indica strain delivers dreamy, sleepy euphoria that gives your eyelids some heaviness at night while giving your mood a burst of positivity.","['Flowery', 'Citrus', 'Violet']","[100.0, 27.9538904899135, 15.9942363112392, 0.0, 0.0, 0.0]",,0.66
Urkle Train Haze,4.888888888888889,46,"['Happy 100', 'Relaxed 96.1538461538462', 'Euphoric 84.6153846153846', 'Uplifted 69.2307692307692', 'Creative 53.8461538461538', 'Pain 100', 'Stress 70.5882352941176', 'Lack of Appetite 64.7058823529412', 'Nausea 64.7058823529412', 'Depression 58.8235294117647', 'Dry Mouth 100', 'Dizzy 33.3333333333333', 'Dry Eyes 33.3333333333333', 'Anxious 33.3333333333333']","An Arizona Natural Selections original, Urkle Train Haze was created using the genetics of Ghost Train Haze and Purple Urkle. These two parent strains are often described as polar opposites of each other, and yet crossing them yields a pleasantly uplifting and euphoric result. Urkle Train Haze’s fragrance and flavor is that of an invigorating sweet, berry, and pine that will linger long after consumption. With predominantly indica effects, this strain holds a feeling of relaxation that will leave you smiling and ready to raid the fridge.","['Sweet', 'Berry', 'Grape']","[100.0, 12.4856815578465, 0.0, 0.0, 0.0, 2.06185567010309]",,0.63
VCDC,4.61904761904762,42,"['Relaxed 100', 'Uplifted 86.8131868131868', 'Happy 48.116169544741', 'Euphoric 46.1538461538461', 'Sleepy 45.7613814756672', 'Pain 100', 'Stress 70.7746478873239', 'Inflammation 58.1866197183098', 'Nausea 56.4260563380282', 'Depression 51.7605633802817', 'Dry Mouth 100', 'Dry Eyes 18.408736349454', 'Dizzy 4.6801872074883', 'Paranoid 2.34009360374415', 'Anxious 2.34009360374415']","VCDC is a hybrid, bred by Moxie Seeds and Extracts, that crosses Viper City OG with ACDC. With its compelling mix of genetics, VCDC is recognized for its high-CBD content, taking 1st for CBD flower at the 2015 SoCal Medical Cup.","['Berry', 'Earthy', 'Citrus']","[100.0, 26.3087248322148, 2.68456375838926, 5.23489932885906, 0.0, 0.0]",,0.47
VOTS AZ Super Sour OG,4.94736842105263,19,"['Relaxed 100', 'Giggly 91.4285714285714', 'Aroused 80', 'Uplifted 31.4285714285714', 'Happy 31.4285714285714', 'Pain 100', 'Depression 77.7777777777778', 'Stress 77.7777777777778', 'Insomnia 44.4444444444445', 'Lack of Appetite 44.4444444444445', 'Dry Mouth 100', 'Dizzy 33.3333333333333', 'Paranoid 16.6666666666667', 'Anxious 16.6666666666667']","VOTS AZ Super Sour OG from Valley of the Sun is a sour and skunky hybrid strain that can test as high as 24% THC. Its sativa-dominant genetics ease consumers into euphoric focus, making it a perfect daytime strain for creative pastimes and social gatherings. The uplifting qualities are recommended for depression and stress, but novice consumers should take caution as its psychoactive effects can become overwhelming in large doses.","['Earthy', 'Pungent', 'Diesel']","[100.0, 11.4827201783724, 0.0, 0.0, 0.0, 0.0]",,0.25
Vader OG,4.60869565217391,21,"['Relaxed 100', 'Happy 65.8064516129032', 'Uplifted 62.5806451612903', 'Sleepy 57.4193548387097', 'Euphoric 42.9032258064516', 'Stress 100', 'Spasticity 54.8022598870057', 'Pain 50.2824858757062', 'Seizures 49.7175141242938', 'Depression 45.1977401129944', 'Dry Mouth 100', 'Dizzy 1.13636363636364', 'Anxious 1.13636363636364']","Vader OG by Ocean Grown Seeds is the namesake strain of one of OGS’s master growers, Vader. This cross began in 2006 with the combination of SFV OG and Larry OG, and evolved over a laborious process of identifying the best phenotypes to breed forward. By 2009, Vader OG had become a mainstay of the Ocean Grown Seeds roster and gave way to several new OG crosses. The terpene profile is rich with pinene, spice, and hash. Vader OG’s effects are euphoric while remaining strongly indica-dominant, locking consumers to their seat. Its effects are ideal for curbing pain and stress, but may also be used as a sleep aid in the proper dosage.","['Sweet', 'Earthy', 'Flowery']","[100.0, 47.5609756097561, 4.72560975609756, 0.0, 0.0, 0.0]",,0.85
Valentine X,4.42857142857143,21,"['Relaxed 100', 'Creative 92.5925925925926', 'Focused 92.5925925925926', 'Euphoric 91.358024691358', 'Uplifted 90.1234567901235', 'Pain 100', 'Stress 100', 'Inflammation 97.3333333333333', 'Depression 96', 'Fatigue 96', 'Dry Mouth 100', 'Headache 100', 'Anxious 100', 'Dizzy 50', 'Paranoid 50']","Named for St. Valentine, the patron saint of epilepsy, Valentine X is a 50/50 hybrid sought after for its exceptional healing powers and a CBD:THC ratio of 25:1. It is a variant of the remarkable ACDC that is cherished for its healing properties. Many find Valentine X to be a great help for seizure disorders, inflammation, and when treating cancer. In addition to its medicinal effects this strain is known to spark creative thinking.","['Earthy', 'Citrus', 'Pungent']","[100.0, 31.7965023847377, 9.06200317965024, 9.06200317965024, 4.61049284578696, 4.61049284578696]",1.0,0.5
Valley Ghash,4.33333333333333,8,"['Relaxed 100', 'Euphoric 97.2477064220184', 'Uplifted 91.743119266055', 'Happy 88.9908256880734', 'Hungry 51.3761467889908', 'Insomnia 100', 'Stress 100', 'Pain 94.6428571428571', 'Depression 26.7857142857143', 'Lack of Appetite 21.4285714285714', 'Dizzy 100', 'Dry Eyes 75', 'Dry Mouth 75']","Valley Ghash is a hybrid strain that combines genetics from G13, Hash Plant, SFV OG Kush, and Jack’s Cleaner. Perfect for a relaxing day or evening at home, Valley Ghash provides a gentle and mellow surge of euphoria that calms worries while boosting the mood.","['Skunk', 'Sweet', 'Woody']","[100.0, 57.2, 42.8, 0.0, 0.0, 0.0]",,0.65
Valley Girl,4.71428571428571,35,"['Happy 100', 'Euphoric 89.4366197183099', 'Relaxed 89.4366197183099', 'Uplifted 83.0985915492958', 'Hungry 41.5492957746479', 'Stress 100', 'Depression 91.5492957746479', 'Fatigue 74.6478873239437', 'Pain 21.1267605633803', 'Inflammation 12.6760563380282', 'Dry Mouth 100', 'Dizzy 50', 'Dry Eyes 50', 'Anxious 50', 'Headache 25']","From Archive Seed Bank comes Valley Girl, a balanced hybrid strain that descends from SFV OG and Face Off OG. Resin-packed buds mark this strain’s elevated THC potential, and consumers with a high tolerance may look to Valley Girl for new euphoric heights.","['Earthy', 'Sweet', 'Flowery']","[100.0, 19.0656565656566, 0.0, 2.3989898989899, 4.7979797979798, 0.0]",22.0,0.5
Vanilla Kush,4.34125269978402,473,"['Relaxed 100', 'Happy 83.094220246238', 'Sleepy 75.2835727314181', 'Euphoric 64.2755357957136', 'Hungry 27.328431372549', 'Stress 100', 'Insomnia 85.0250761884193', 'Pain 61.9705804717683', 'Depression 46.8720754445324', 'Lack of Appetite 37.9190363064814', 'Dry Mouth 100', 'Dry Eyes 56.045529472633', 'Headache 16.2595805609366', 'Dizzy 8.97835424913669', 'Anxious 5.57627750839239']","This indica strain comes from Barney’s Farm in Amsterdam and clinched 2nd place overall at the 2009 High Times Cannabis Cup for the coffee shop and seed company. Bred from Afghan and Kashmir strains, this Kush beauty is a gift to the senses with her notes of vanilla, lavender, and a hint of citrus. Plants flower in 8 weeks and produce large, soft flowers that are light green with hints of orange. This strain has a high THC content often measuring over 20%, making it a potent choice that might be strong for new users.","['Vanilla', 'Sweet', 'Spicy/Herbal']","[100.0, 76.0504201680672, 21.218487394958, 4.20168067226891, 1.68067226890756, 7.14285714285714]",19.0,0.7
Vanilluna,4.83333333333333,6,"['Relaxed 100', 'Sleepy 55.5555555555556', 'Happy 55.5555555555556', 'Euphoric 44.4444444444444', 'Pain 100', 'Eye Pressure 62.5', 'Headaches 62.5', 'Stress 50', 'Inflammation 12.5']","World renowned Oregon breeder DJ Short used his legendary Blueberry genetics to create this 50/50 hybrid, Vanilluna. By pollinating a sativa-dominant female Blueberry with the original Blueberry indica male, he created a medium-tall, Kush-like plant with short internodal spacing, dark green foliage, and fragrant spade-shaped buds. The terpenes produced by Vanilluna give off subtle, complex aromas of creamy vanilla and honey with undertones of flowers and melon. Its high is very long-lasting, dreamy, and comfortable, especially considering it has THC levels up to 24%.","['Sweet', 'Blueberry', 'Lavender']","[100.0, 16.6861143523921, 0.0, 0.0, 0.0, 0.0]",23.0,0.5
Velvet Bud,4.15384615384615,13,"['Uplifted 100', 'Energetic 84.5238095238095', 'Creative 82.1428571428571', 'Focused 78.5714285714286', 'Talkative 35.7142857142857', 'Depression 100', 'Stress 98.4848484848485', 'Fatigue 78.7878787878788', 'Lack of Appetite 3.03030303030303', 'Cramps 1.51515151515152', 'Dry Mouth 100', 'Dry Eyes 7.14285714285714', 'Anxious 5.35714285714286']","Like the name suggests, Velvet Bud will produce a smoke that is smooth like velvet. A mostly sativa that crosses Dutch Treat and Blueberry, this fruity strain is a great choice for anyone struggling with depression, anxiety, and stress.","['Sweet', 'Blueberry', 'Pine']","[100.0, 42.9223744292237, 85.6164383561644, 0.0, 0.0, 0.0]",20.0,0.30000000000000004
Velvet Purps,5.0,5,"['Relaxed 100', 'Happy 80', 'Euphoric 40', 'Sleepy 33.3333333333333', 'Uplifted 33.3333333333333']","Velvet Purps by Sun Roots Farm is an indica-dominant hybrid steeped in JahGoo genetics. It’s created by crossing JahGoo with Magic Bus (itself a cross between T2 and JahGoo). This backcrossing of JahGoo genetics fortifies the relaxing, indica-dominant effects while preserving the emerald green foliage and purple accents the strain is known for. Velvet Purps produces trichome-laden buds that emit a berry and pine aroma that opens up on the palate. Enjoy this strain to don a peaceful, relaxing buzz that is perfectly suited for evening consumption.","['Lavender', 'Earthy', 'Berry']","[100.0, 10.01100110011, 0.0, 0.0, 0.0, 0.0]",,0.61
Venice OG,4.33333333333333,32,"['Happy 100', 'Uplifted 88.8888888888889', 'Energetic 88.8888888888889', 'Creative 72.2222222222222', 'Euphoric 61.1111111111111', 'Stress 100', 'Depression 56.25', 'Pain 43.75', 'Fatigue 37.5', 'Headaches 18.75', 'Dry Eyes 100', 'Dry Mouth 75', 'Headache 75', 'Paranoid 50']","Native to the free-wheeling California beach city it’s named after, Venice OG is a powerful sativa-dominant strain with energetic effects that make it great for daytime use. Almost devoid of any sleepy effects, Venice will have you ready to work on projects, run errands or just hang out on the beach.","['Pungent', 'Pine', 'Citrus']","[100.0, 61.0722610722611, 27.7389277389277, 0.0, 0.0, 44.2890442890443]",20.0,0.09999999999999998
Venom OG,4.383561643835621,151,"['Relaxed 100', 'Focused 63.7747325060042', 'Happy 63.0051528377786', 'Sleepy 57.2017042285986', 'Euphoric 55.6885693253723', 'Pain 100', 'Stress 92.2034271860709', 'Insomnia 77.384428894154', 'Nausea 70.4749572979227', 'Depression 63.2541737836795', 'Dry Mouth 100', 'Dry Eyes 57.1923857734187', 'Dizzy 22.4696142793113', 'Headache 10.6000685491313', 'Paranoid 6.81536555142503']","Venom OG from Rare Dankness Seeds is an indica-dominant cross between Poison OG and Rare Dankness #1. Its forest-green buds are dense with a tangle of bright orange hairs, and it has an aroma of skunk, pine, lemon, and diesel. This strain is recommended for nighttime use as its effects tend toward full-body relaxation, but it also provides some sensory elevation that is enjoyable for lazy activities. Patients have found Venom OG a potent remedy for pain, arthritis, anxiety, and sleep disorders. Venom OG is suitable for outdoor or indoor gardens and its breeders suggest a 50 to 65-day flowering period.","['Earthy', 'Pine', 'Diesel']","[100.0, 65.3100775193798, 19.3798449612403, 2.13178294573643, 2.13178294573643, 5.03875968992248]",20.0,0.575
Venus OG,4.75,6,"['Focused 100', 'Tingly 85', 'Euphoric 30', 'Happy 30', 'Relaxed 30', 'Depression 100', 'Stress 100', 'Headaches 50', 'Inflammation 25', 'Nausea 25', 'Dry Mouth 100']","Another member of the “planetary series,” Venus OG is a hybrid strain bearing OG Kush heritage, although its specific parent strains are disputed. Each glistening trichome carries a resemblance to the bright planet this strain is named after, coating its conic buds in a galactic blanket of white crystals. A fresh pine aroma mixed with sour notes of lemon draws you in, and next comes the heavy euphoria to take away your sense of gravity and lift you to a happy, relaxed place.","['Citrus', 'Lemon', 'Berry']","[100.0, 49.9250374812594, 0.0, 0.0, 0.0, 0.0]",18.0,0.5
Verde Electric,4.26829268292683,34,"['Happy 100', 'Uplifted 92.3076923076923', 'Creative 91.2820512820513', 'Relaxed 89.4871794871795', 'Giggly 88.2051282051282', 'Headaches 100', 'Pain 94.2307692307692', 'Stress 93.2692307692308', 'Depression 92.6282051282051', 'Inflammation 90.7051282051282', 'Headache 100', 'Dry Mouth 17.2', 'Dry Eyes 1.2', 'Dizzy 0.8', 'Anxious 0.8']","Verde Electric is one of those strains that is noted for its smooth, unique taste. Bred from a mix of Durban Poison, Platinum OG and Sherbert genes, this strain has gained a following in the medical community for treating pain and digestive issues. The lime green buds should be light, airy and have a nice crystal coat. The buzz is relaxing, but its near 50/50 hybrid mix has enough of an energy jolt to make Verde Electric a choice that works for many both days and nights.","['Woody', 'Earthy', 'Sweet']","[100.0, 100.0, 7.30478589420655, 11.0831234256927, 11.0831234256927, 22.1662468513854]",19.0,0.5
Versace,4.769230769230769,26,"['Happy 100', 'Relaxed 74.3550834597876', 'Euphoric 62.2154779969651', 'Uplifted 54.7799696509863', 'Focused 45.9787556904401', 'Pain 100', 'Depression 95.4385964912281', 'Stress 95.4385964912281', 'Insomnia 59.2982456140351', 'Eye Pressure 56.140350877193', 'Dry Eyes 100', 'Dry Mouth 68.9969604863222', 'Dizzy 14.8936170212766', 'Paranoid 12.1580547112462', 'Anxious 12.1580547112462']","Versace is a clear-headed sativa-dominant hybrid created by crossing Sour Diesel, OG Kush, and Granddaddy Purple. This trio of trichome-rich strains is combined to offer an array of effects that work off each other. Sour Diesel’s heady buzz acts a catalyst, adding a stimulating alertness to the luscious body effects and pleasant euphoria native to Granddaddy Purple and OG Kush, respectively. Enjoy this pungent flower to help curb depression and fatigue while elevating mood and muting mild physical pain.","['Lemon', 'Flowery', 'Earthy']","[100.0, 12.485549132948, 3.12138728323699, 0.0, 0.0, 0.0]",,0.26
Very Berry Haze,4.09803921568627,52,"['Happy 100', 'Focused 91.7668825161887', 'Relaxed 89.1766882516189', 'Giggly 82.886216466235', 'Uplifted 13.413506012951', 'Pain 100', 'Depression 92.1052631578947', 'Headaches 91', 'Fatigue 14.6842105263158', 'Nausea 8.63157894736842', 'Dry Mouth 100', 'Anxious 6.40243902439024', 'Dizzy 4.26829268292683', 'Dry Eyes 4.26829268292683', 'Paranoid 4.26829268292683']",This 100% sativa strain was first created by the breeders at Apothecary Genetics as a combination of the popular sativas,"['Berry', 'Sweet', 'Earthy']","[100.0, 64.2857142857143, 46.3054187192118, 17.7339901477833, 0.0, 17.7339901477833]",15.0,0.0
Vietnamese Bubba,5.0,2,"['Hungry 100', 'Happy 90', 'Aroused 80', 'Talkative 80', 'Energetic 80', 'Paranoid 100', 'Anxious 100', 'Dry Eyes 12.5', 'Dry Mouth 12.5']","Vietnamese Bubba by Khush Kush is another Pre-98 Bubba Kush cross, but this time with a pleasant sativa-hybrid bent. By adding Vietnamese Black Haze to the famous and stable Bubba Kush, Khush Kush achieves a unique take on a classic. This strain offers talkative, happy effects while still mellowing physical discomfort and alleviating stress. The aroma and flavor are herbaceous and rich with notes of lemongrass, chocolate, wildflowers, and spice. This strain also exhibits beautiful purple foliage that speaks to its deep indica roots.",[],"[100.0, 25.0, 0.0, 0.0, 0.0, 0.0]",,0.58
Violator Kush,4.3205574912892,290,"['Relaxed 100', 'Happy 65.8768604324628', 'Sleepy 56.8976411120472', 'Euphoric 49.9648975007021', 'Hungry 47.9991575400168', 'Pain 100', 'Stress 85.2285540810131', 'Insomnia 72.3479920201232', 'Inflammation 53.7861046057767', 'Nausea 39.7519299158644', 'Dry Mouth 100', 'Anxious 31.96356817573', 'Dry Eyes 27.9560675060273', 'Dizzy 8.92043932493973', 'Paranoid 5.83980712563622']","Violator Kush is a pure indica from old school Dutch breeders Barney’s Farm. A cross of Malana and Hindu Kush genetics, it produces large yields of super-resinous flowers on a short, bushy plant. This indica has a musty, earthy smell and taste and provides a strong body buzz that will leave you stuck to your chair.","['Earthy', 'Pungent', 'Sweet']","[100.0, 75.7894736842105, 20.4210526315789, 6.10526315789474, 3.36842105263158, 4.84210526315789]",20.5,0.8
Violet Delight,4.4754098360655705,61,"['Uplifted 100', 'Relaxed 70.6521739130435', 'Happy 69.5652173913044', 'Euphoric 61.9565217391304', 'Talkative 47.8260869565217', 'Lack of Appetite 100', 'Stress 41.4634146341463', 'Depression 34.1463414634146', 'Pain 34.1463414634146', 'Muscle Spasms 19.5121951219512', 'Dry Mouth 100', 'Dry Eyes 37.5', 'Dizzy 12.5', 'Headache 12.5', 'Paranoid 12.5']","Violet Delight is an indica-dominant strain that delivers exactly what its name promises: a loud burst of floral flavor that can only be compared to the aroma of a violet. Glance at this hybrid’s terpene profile and you’ll notice high levels of linalool, a flowery-smelling terpene that promotes relaxation and stress-relief. While driven by indica genetics, Violet Delight isn’t overwhelmingly sedating for most consumers. Instead, you’ll likely find yourself in a clear, focused headspace conducive for meditation or introverted activities. For the extroverts, this hybrid offers a giggly, lighthearted mood that keeps you active and engaged in social settings.","['Flowery', 'Violet', 'Tree Fruit']","[100.0, 29.9850074962519, 5.99700149925037, 11.9940029985007, 1.94902548725637, 0.0]",22.0,0.56
Violeta,4.75,4,"['Happy 100', 'Uplifted 71.4285714285714', 'Relaxed 57.1428571428571', 'Euphoric 42.8571428571429', 'Energetic 14.2857142857143', 'Depression 100', 'Lack of Appetite 75', 'Stress 25', 'Dry Mouth 100']","Violeta by Ace Seeds is an indica-dominant hybrid cross of two deliciously purple strains. Its vibrant colors and balanced effects were brought to life by pairing Purple Malawi, a deep purple expression of the African sativa crossed with Pakistan Chitral Kush. Violeta’s aroma is nearly as unique as its appearance, with a bouquet of balsamic vinegar and tree fruit. The stoney effects and medium potency of this strain make it a pleasant cannabis variety any time of the day.","['Earthy', 'Woody']","[100.0, 33.3333333333333, 0.0, 0.0, 33.3333333333333, 0.0]",14.5,0.605
Viper,4.32692307692308,52,"['Energetic 100', 'Uplifted 69.9642431466031', 'Talkative 69.7258641239571', 'Hungry 60.0715137067938', 'Focused 50.5363528009535', 'Stress 100', 'Fatigue 96.1832061068702', 'Depression 60.4961832061069', 'Lack of Appetite 51.5267175572519', 'Pain 13.7404580152672', 'Dry Mouth 100', 'Anxious 33.509234828496', 'Paranoid 26.3852242744063', 'Dizzy 9.49868073878628', 'Dry Eyes 7.12401055408971']","Viper is an invigorating sativa that was bred from an indigenous Burmese landrace and a native Mexican strain known as Blackseed. First cultivated by Reeferman Seeds, Viper inherits buzzing, cerebrally-targeted effects and a spicy, citrus aroma. In a show of its nearly pure sativa genetics, Viper grows tall and bears fluffy buds that finish their flowering cycle in about 10 weeks.","['Sweet', 'Citrus', 'Flowery']","[100.0, 60.4938271604938, 7.93650793650794, 5.29100529100529, 2.64550264550265, 0.0]",15.75,0.09999999999999998
Voodoo,4.208955223880601,68,"['Happy 100', 'Euphoric 25.9023354564756', 'Uplifted 24.6284501061571', 'Focused 18.2590233545648', 'Sleepy 17.4097664543524', 'Depression 100', 'Stress 98.780487804878', 'Pain 82.9268292682927', 'Fatigue 65.8536585365854', 'Nausea 45.1219512195122', 'Anxious 100', 'Dry Mouth 91.4893617021277', 'Dry Eyes 68.0851063829787', 'Paranoid 63.8297872340426', 'Dizzy 6.38297872340426']","Voodoo, bred from a Thai landrace in 1997, is an uplifting sativa cannabis strain with long-lasting, euphoric effects. A fresh, fruity aroma emanates from the dense, pine-green buds enameled in crystal trichomes, with nutty and spicy flavors to follow. Depression, fatigue, and stress stand no chance against the uplifting, almost energizing, qualities of Voodoo. This strain prospers both indoors and outdoors, and flowers 8 to 9 weeks after its vegetative cycle.","['Pungent', 'Tropical', 'Spicy/Herbal']","[100.0, 78.8265306122449, 42.0918367346939, 20.9183673469388, 2.55102040816326, 10.4591836734694]",10.0,0.0
Vortex,4.33734939759036,252,"['Happy 100', 'Uplifted 99.1256162066856', 'Energetic 97.7654636393077', 'Euphoric 93.8361340002159', 'Creative 73.5606851138858', 'Stress 100', 'Depression 73.5745746349704', 'Pain 42.4625920115844', 'Fatigue 39.8244237963075', 'Headaches 33.5555689634367', 'Dry Mouth 100', 'Dizzy 51.7211883898192', 'Anxious 43.4108232431713', 'Dry Eyes 38.8431637172347', 'Paranoid 35.822767967458']","Vortex by TGA Genetics is a 80/20 sativa-dominant strain whose potency will pull you into a whirling mass of euphoria like a cosmic riptide. Its celestial parents Space Queen and Apollo 13 pass on a sweet and sour lemon aroma accented by notes of tropical mango, while its inherited effects can range from racy and energetic to heavy and disorienting. The staggering THC content of Vortex has won this sativa several awards including High Times' Best Sativa in 2010 and the High Times ""Top 10"" in 2007.","['Citrus', 'Lemon', 'Tropical']","[100.0, 70.5521472392638, 22.4948875255624, 2.86298568507157, 2.86298568507157, 5.72597137014315]",17.0,0.225
